Baseline (40000),Simple Proof (40000),Delegation (1500),sys_env_destroy (no proof),sys_env_destroy (simple), sys_env_destroy (delegation)
645,88639,312994,10536808,10875782,12746713
757,88624,306077,10702480,11641341,12785862
769,88206,315269,11238603,11063964,12712484
755,88742,317035,10681816,11589935,12183036
742,88410,313872,11610102,11909345,12280620
730,87730,310858,11439829,11377862,12083710
652,87664,306103,10792248,11613689,12304550
640,87505,305857,10689976,11559147,12238184
752,88993,311884,11442857,11804263,12158082
677,88263,309451,11499822,11406364,12332882
